Depth,TrialCount,A*(h1),t(h1),A*(h2),t(h2)
2,1,4,198523,4,185839
2,1,6,128487,6,155312
2,1,4,98720,4,106131
2,1,4,89566,4,116150
2,1,4,83454,4,119818
2,1,4,91230,4,115853
2,1,6,113269,6,141100
2,1,6,118734,6,140058
2,1,6,147439,6,134697
2,1,6,131854,6,130549
2,1,4,83001,4,119250
2,1,4,88919,4,98393
2,1,4,84083,4,95809
2,1,6,78512,6,93744
2,1,4,78613,4,84440
2,1,4,57456,4,117336
2,1,6,115764,6,128961
2,1,6,99898,6,156543
2,1,6,134334,6,110614
2,1,6,101538,6,116600
2,1,6,115121,6,113917
2,1,4,132705,4,92006
2,1,4,79694,4,89733
2,1,4,91423,4,88041
2,1,4,87478,4,84745
2,1,6,98193,6,114606
2,1,6,93383,6,126996
2,1,4,75976,4,93929
2,1,6,92203,6,98600
2,1,4,74861,4,76444
2,1,4,72393,4,75261
2,1,6,92597,6,132556
2,1,4,99893,4,85413
2,1,4,70064,4,89294
2,1,4,89546,4,89202
2,1,4,65406,4,71248
2,1,6,102956,6,98675
2,1,6,112226,6,108871
2,1,4,83480,4,81129
2,1,6,103231,6,90576
2,1,4,55870,4,47555
2,1,6,79430,6,109787
2,1,4,76053,4,80679
2,1,4,62778,4,142043
2,1,4,71910,4,75402
2,1,4,68471,4,82922
2,1,6,74241,6,94178
2,1,4,75406,4,75466
2,1,6,146381,6,96974
2,1,4,93728,4,80885
2,1,6,77035,6,90814
2,1,4,66908,4,95597
2,1,6,84136,6,87400
2,1,4,73151,4,120824
2,1,4,73008,4,72395
2,1,6,104308,6,111551
2,1,4,51884,4,71309
2,1,4,66584,4,74403
2,1,6,106590,6,85838
2,1,6,53834,6,57580
2,1,4,41131,4,50407
2,1,6,63772,6,79492
2,1,4,104398,4,63757
2,1,6,106018,6,180851
2,1,6,79461,6,97266
2,1,4,51550,4,55007
2,1,6,87613,6,79923
2,1,6,79815,6,84717
2,1,6,69673,6,68814
2,1,6,61549,6,75651
2,1,6,67727,6,89323
2,1,6,67210,6,68730
2,1,4,48520,4,69596
2,1,6,56262,6,66713
2,1,6,59280,6,74630
2,1,4,52776,4,46103
2,1,4,46162,4,57164
2,1,6,69749,6,61055
2,1,6,66983,6,39743
2,1,6,34101,6,85196
2,1,6,55216,6,54137
2,1,6,88439,6,47322
2,1,6,49408,6,55399
2,1,4,46589,4,37636
2,1,4,45582,4,101074
2,1,6,112797,6,51228
2,1,4,43296,4,42507
2,1,4,38549,4,41499
2,1,6,51020,6,46407
2,1,4,38380,4,36820
2,1,6,47031,6,41981
2,1,4,36052,4,39135
2,1,6,62059,6,68656
2,1,4,37324,4,34472
2,1,6,39760,6,42683
2,1,4,54779,4,56909
2,1,6,70888,6,46371
2,1,4,37635,4,38882
2,1,6,42957,6,71078
2,1,6,41922,6,24422
4,1,9,54839,9,44594
4,1,9,44350,9,45553
4,1,9,42253,9,41912
4,1,9,47280,9,67233
4,1,11,141715,9,62054
4,1,9,56492,9,60045
4,1,9,61086,9,58507
4,1,9,60974,9,57378
4,1,7,52466,7,47604
4,1,9,80128,9,51952
4,1,7,39174,7,36774
4,1,7,34848,7,38008
4,1,9,51104,9,41123
4,1,9,43485,9,115453
4,1,9,67148,9,46240
4,1,9,41791,9,40508
4,1,7,69630,7,36085
4,1,9,36460,9,39038
4,1,9,40747,9,35334
4,1,9,41083,9,69990
4,1,9,63345,9,62031
4,1,9,57671,9,89220
4,1,9,62778,9,70484
4,1,7,53416,7,50259
