INPUT_FILE:,../data/testdata1.txt
CPU_SWITCH_TIME:,3
SYSTEM_TIME:,10/12/2017 09:18:35
,
SCHEDULER:,FIRST_COME_FIRST_SERVE
PID:,1,2,3,4,5,6,7,8,9
BURST_TIME:,624,488,231,337,222,130,317,439,942
PRIORITY:,2,15,16,7,3,17,11,8,10
TIME,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9
0,624,488,231,337,222,130,317,439,942
1,0,488,231,337,222,130,317,439,942
2,0,0,231,337,222,130,317,439,942
3,0,0,0,337,222,130,317,439,942
4,0,0,0,0,222,130,317,439,942
5,0,0,0,0,0,130,317,439,942
6,0,0,0,0,0,0,317,439,942
7,0,0,0,0,0,0,0,439,942
8,0,0,0,0,0,0,0,0,942
9,0,0,0,0,0,0,0,0,0
TURN_AROUND_TIME:,624,1115,1349,1689,1914,2047,2367,2809,3754
Total_Turnaround_Time:,17668
Average_Turnaround_Time:,1963.111111111111
,
SCHEDULER:,SHORTEST_JOB_FIRST
PID:,1,2,3,4,5,6,7,8,9
BURST_TIME:,624,488,231,337,222,130,317,439,942
PRIORITY:,2,15,16,7,3,17,11,8,10
TIME,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9
0,624,488,231,337,222,130,317,439,942
1,624,488,231,337,222,0,317,439,942
2,624,488,231,337,0,0,317,439,942
3,624,488,0,337,0,0,317,439,942
4,624,488,0,337,0,0,0,439,942
5,624,488,0,0,0,0,0,439,942
6,624,488,0,0,0,0,0,0,942
7,624,0,0,0,0,0,0,0,942
8,0,0,0,0,0,0,0,0,942
9,0,0,0,0,0,0,0,0,0
TURN_AROUND_TIME:,2809,2182,589,1249,355,130,909,1691,3754
Total_Turnaround_Time:,13668
Average_Turnaround_Time:,1518.6666666666667
,
SCHEDULER:,ROUND_ROBIN_(25)
PID:,1,2,3,4,5,6,7,8,9
BURST_TIME:,624,488,231,337,222,130,317,439,942
PRIORITY:,2,15,16,7,3,17,11,8,10
TIME,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9
0,624,488,231,337,222,130,317,439,942
1,599,488,231,337,222,130,317,439,942
2,599,463,231,337,222,130,317,439,942
3,599,463,206,337,222,130,317,439,942
4,599,463,206,312,222,130,317,439,942
5,599,463,206,312,197,130,317,439,942
6,599,463,206,312,197,105,317,439,942
7,599,463,206,312,197,105,292,439,942
8,599,463,206,312,197,105,292,414,942
9,599,463,206,312,197,105,292,414,917
10,574,463,206,312,197,105,292,414,917
11,574,438,206,312,197,105,292,414,917
12,574,438,181,312,197,105,292,414,917
13,574,438,181,287,197,105,292,414,917
14,574,438,181,287,172,105,292,414,917
15,574,438,181,287,172,80,292,414,917
16,574,438,181,287,172,80,267,414,917
17,574,438,181,287,172,80,267,389,917
18,574,438,181,287,172,80,267,389,892
19,549,438,181,287,172,80,267,389,892
20,549,413,181,287,172,80,267,389,892
21,549,413,156,287,172,80,267,389,892
22,549,413,156,262,172,80,267,389,892
23,549,413,156,262,147,80,267,389,892
24,549,413,156,262,147,55,267,389,892
25,549,413,156,262,147,55,242,389,892
